destination_iata,city,country,attraction_name,category,description,tags,best_months,image_url,formatted_address,rating,user_rating_count,latitude,longitude,google_maps_uri,good_for_children
LHR,London,United Kingdom,Tower of London,culture,A UNESCO World Heritage Site housing the Crown Jewels.,"culture,history,landmark,family","May,June,September",https://places.googleapis.com/v1/places/ChIJ3TgfM0kDdkgRZ2TV4d1Jv6g/photos/AU_ZVEElICqYaPObOCFHrLdEer3Gj-okcc4iNskD7220TRxk6jEo4rY3onGlE2JKFeOe-0DNDzxDXvycUki0BicIqZK-ygvXNktP-rUr8HKDHcnh5lV-GmnN_wz6qweKGyBNgMM-sVcQebqbNqC4DPSFgsHxw-bRfODRoJJrV8GwIXXawtyXCG8cOl68XnFrbd0RpZohfgR8jI-kpagVSIvSzGJUlYtWpcdDPi78TLLdoZ9IqMTnjhRJgBBlSCOQgMzusHM3togBt6AiLe6mnvTdRj_JAKdfqt8eJmyd9MWfJPVtsayWCSh_KiBXyisoHbf0j1GN2ze7SmGbsszxsElAFouAYevwId4Ms69uBHcKhhhMytLa9Xp4VtFQOWMv8BurDNSmwWqfivpYGUV6W3MlrZBFVJd3HM3rzq_hivR7h9dNyWlk/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"London EC3N 4AB, UK",4.7,117747,51.508112399999995,-0.0759493,https://maps.google.com/?cid=12159518736249087079&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
LHR,London,United Kingdom,Buckingham Palace,culture,The official residence of the British monarch.,"culture,history,landmark,city","May,June,September",https://places.googleapis.com/v1/places/ChIJtV5bzSAFdkgRpwLZFPWrJgo/photos/AU_ZVEGo440KwwYX69CWWNBXGwtZNtQ5Pz-_6TbAqUOpupkw1cKp2qgEBzUNnANVTf6O48J26fQyJYeDjiz-4WytTCWXIkyRFBQQmdC7gG8K6OZlulpt7DMiwK6hD9yjFIGhmoqKU3luBO2989FUB9xF6PDOcNJWYEUSmaiQUoUjfIWrEAyxX9vNNzoAWsMG72hUCqWNGK39XfGmqhG-_iwjCKYfygPfvb_raMiYm0re8531Z0IbLlMfhSXAMMHgRPNKatoMg__RHMAYMb_SX1E-ghHohZeui0O5pGaQ00dTNXf2b6E3B6ysmBrj9dFdy_BpJXmdMel6YamnHG6XYqqxAwVqS1qNFvNWd2eMBFowWGAxI2g8U6K52p99rN-9I5KGyLs2Hq6tKnbSgmYZRzro4c6aC36nLBKqM1kzR8qVK1W8a0S-/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"London SW1A 1AA, UK",4.5,189619,51.501363999999995,-0.14189,https://maps.google.com/?cid=731461058599387815&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
LHR,London,United Kingdom,Oxford Street,shopping,Europe's busiest shopping street with flagship stores.,"shopping,city,walking","May,June,September",https://places.googleapis.com/v1/places/ChIJwTXDVNUadkgRGnzGNLlkIdo/photos/AU_ZVEGpf-FwJY-xDo78ZvYvfcNbxumxQ3K7AVWZPoJL-34kAtypddM2wOkoNvj5o21s1RWfqw3qy5wJZeHx0NwNBkZUFEjtpS2mwrAvE-Ed-O_HVAgQKWtaykKjUTxFzcIyx-06tk0yEHFRT5ZvPEOhsE5eQkisdILeAFL8UF5KJAuvzttEuq4WT4XTPkpU0gRHxUPSX9WTn7nNbyXm7keV0FnxjjEy_utGpB4277tYjuXgLwz_kUyMg52KBneQmz8-5LRDUdiFqZY3WxehpuYlseXJ8znzVxxdyne7zCyH1Ki16NbLI4P4ZkMFjlRWnocZLQVSoPxlnAEBNaJlPyeB-BMnaRLjso_NzLRXYRoni7J7sxm8jLewdOkepjJzW36C7sfwd1S7zyErxiJQA7dBPqc7FNCMZqU2hFehgvdnOuEE7OYk/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Oxford St, London, UK",4.7,7705,51.5152548,-0.1420194,https://maps.google.com/?cid=15717954921116892186&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
LHR,London,United Kingdom,Hyde Park,outdoor,A vast royal park perfect for picnics and strolls.,"nature,outdoor,family,relaxing","May,June,September",https://places.googleapis.com/v1/places/ChIJhRoYKUkFdkgRDL20SU9sr9E/photos/AU_ZVEEU1hIuqLhS5lHphP2YpRY_fJYi9iJKULGtLEhRXTA1j37bzphQ2-w_93fm5AjIZuOQAqXIHwiK2G2cVjqWf-Ktb7tVhUWTTNUtFhHUQv8jgGpKKtly7xWMcio_M3aqITwG9dL2y0zGuw3-3SchlsEj9zEeLntDI3aqw42o--7Sqq4ljLGC17k1mrCEg9NhMdVPlrZAFYPR3xmHciO3VP8O8IvVUUXSdkGt-cTGNwZUfBU7G2qGQsaPki8Cayrra98Ys5jWYbIfl95s47YvuxVEb7Q4Kw7kTsfjBmLQjAhCKGuSCcvWmSnSZbzCd7npuO99-kz-aTwS2qOtLbPP3NggYaLVCFjcabxVqVIUEq9aZU1qIRXrWhrOxTEJXrGJ8J2p33ToZKM25uF6rYVWUaE2wxO9ah2j3399JPJq64GwTA/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"London, UK",4.7,140332,51.5073638,-0.1641135,https://maps.google.com/?cid=15109414362646101260&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
LHR,London,United Kingdom,West End Theatres,culture,World-renowned musicals and plays in the heart of London.,"culture,entertainment,indoor,romantic","May,June,September",https://places.googleapis.com/v1/places/ChIJcV1q3-8FdkgRrjHIch_aAI4/photos/AU_ZVEEfqXy492ZDn7S_SL520cNJ1kktPKyabHhiTl_np8PtnFzxBdOHaYJ_4od_dkXz7kB3rzmdVye5PjeHbWtYCVcxJFEVP6WL2LNi3CTihPv6KklucnIv4VNOXjXgVuBxPW0O-MGA1RJuyVdGjfaiQt6YWNZIID4Pbql--99TBCS9Y4LEgvfwd5xNcLLrGl5BvEYFvBs542HCi0R8AN0_2MIKSU-kBjJQVRO6Dmpr-GKkaIppAC7a5mDyp8zN_qq4iLSq0wpyR1SioBwAtNrntDs1VOygtYtr1gUTmSWJQObgSMw8rjA4eB_-lM5-fMSH8e7q-k6w5G2ZTOdS7BldMpfocVZRM3R4OFif1qZB1DmGCsI9VDs44gSVOue_hxcJXqLYtZ48MnO3WBs_cDU7_aRS5hkZ-ArHm02SvTJWB_74f6QSrT-E65qrMqvugtM_/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Leicester Square, London WC2H 7NA, UK",4.6,14,51.5110253,-0.1298733,https://maps.google.com/?cid=10232418181990330798&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
CDG,Paris,France,Eiffel Tower,culture,The iconic iron lattice tower with panoramic city views.,"landmark,culture,romantic,city","April,May,September,October",https://places.googleapis.com/v1/places/ChIJLU7jZClu5kcR4PcOOO6p3I0/photos/AU_ZVEHyFj6HC94yz33PWAT5j6rVSQLuljPMC4z0wEryGlt87lt6tnjP9l_kgWyk2Cl8wKO2iNlXbdgS5cIQaG9LRDkXtKvqirqQKYFauF5FSSk_5--Eb50wmPoxtCHo63Hc7tLiFW_wF5fhUNlPg8ezLoZvraWjxR8vZnVutehlKDNDEVLoIBu6p1Jv0i6uCixj8HUP3AXM0t1vK7pFHsPMTOAfA6Mueopi2DZiLCE0qhHFTuQuWOntnppZ9n_bBwVP2TRcJVfc20MrDJQeYw11VjzMU36uMabT0H292r7EX8UKODKPHYXJxUvlhL2fIvjnWWEYnjYLecRRf5Wiy3ZpMVgAZ6G5vqtxcs9DssOf3kTD8BLGJWQyS_UoxyLQSpupXpWO8T6XIiu5XeAR7tC3RWC9Ws31c-l3qx-QdZ1p_6PSSc_6/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Av. Gustave Eiffel, 75007 Paris, France",4.7,483182,48.858370099999995,2.2944812999999997,https://maps.google.com/?cid=10222232094831998944&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
CDG,Paris,France,Louvre Museum,culture,Home to thousands of works including the Mona Lisa.,"culture,art,history,indoor","April,May,September,October",https://places.googleapis.com/v1/places/ChIJD3uTd9hx5kcR1IQvGfr8dbk/photos/AU_ZVEEHYu2Px38wuWLkvUuTXyB3kSLtwfu4dhO5Nzc14vNZuyTN_nm3tSPLSjPNbrgSmjbp7TalsK3wLIqocZKBxVhHpT9nUK3CVUjJ5DX3qEZ3AyyomuwtQaW2ETO5jy7MJb2FQO-3aYUE070bqZ66sFIcU5WgxVUbhjNztWrhpSI3-xqsiQUuPE-5X45QXtpM5kaGfKhxJxCuAocune_eMVZiZcB-yYQcdrMBP2oUoa6b5m4e44JzdfsSKu5B8lr_PYRnLCDBuCB1f09jVLNVs_IGMv3cCxp61vfKV807uPbtHnXU-3WLnAxtBjaByoGjVNo3n9ghRoq3iSzmMj60y0OhG6QGkF78GjoknYiMcqdWaue35uFcrWDIUE5FqCCYlqzyK7j6c1pho4e4rm1tP6u3p4RT_LWCXSoRm5ds45oM1T4r/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"75001 Paris, France",4.7,363131,48.8606111,2.337644,https://maps.google.com/?cid=13363865620386383060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
CDG,Paris,France,Champs-Élysées,shopping,Paris's grand boulevard of luxury boutiques and cafés.,"shopping,city,walking,luxury","April,May,September,October",https://places.googleapis.com/v1/places/ChIJUXgA-MRv5kcR9mSP84enoVo/photos/AU_ZVEF7znIc1B7CMkFwPw8UrHDxXTQu4TN3rui6jFJN-FRIrV8-IvxxionPL_wXj0mKMIp93hVjxgU82DMpbJ9izDFk7UHEenuX_M1qX_DKtzKg8gDQDdKiqEWMfwCOFEkAoEEEPT0LrQu4lymgfUCAoX3KRtvBmd9vSYae1kqqB2JeSFYukt03Uop6XkcA9L3mn7l_wmwlrdAAVGIRSAuvgEdqadU308Fysil5OuVfrmWBdLfg6GeJWTL2MaHPip5vCqsTKLe0KVRJHiDwqxFuR09NPMLlRmavgtKuq1uGjPMTKTIBlt0scERd1h-XtwWzviR93hDbrimE3Kn3ZV_pnwQb_0n_DMeC2-j9hdvzIir-X5TvC0aA2Hg2LFbjj3y4n1L7LIj7yFOY3gAujaABul3ntMTQUc8G0kbuZEnI3Dhg-kNr/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Av. des Champs-Élysées, 75008 Paris, France",4.7,5989,48.8729602,2.2978526,https://maps.google.com/?cid=6530685137012614390&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
CDG,Paris,France,Seine River Cruise,romantic,A magical boat ride past Paris's most iconic landmarks.,"romantic,tour,sightseeing,relaxing","April,May,September,October",https://places.googleapis.com/v1/places/ChIJiwXbjSBu5kcRElMMiLmE-mo/photos/AU_ZVEHYfSzcNqFMLwYC_YbvN-Y6Fm-I2lHwT6-xfSWHDATcSRH5WAC07dpuFqHY4-N7tI8yYdSEH54AFNau9HEq49pyT-F5oF-m3v1_BJLcIzAcCfwwqrJGUUNibFd2-Yf0dty_78qP1dUnnmVsaefTXWlx-u26op4CyfftmvENCutmNyb8T7aQR0P37UOtLggok7Q6p2alWmegAdfsoe9y40G8ITaj0P3a29dFkU6Dv8LjkerKrBTtFFCww43_L7_NxpliIQyjXIuGaiXiM6BsOgc7EaHaKN3akJ3iZDpXqx5Wdw/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"1 Square du Vert Galant, 75001 Paris, France",4.4,6361,48.857448399999996,2.3409317,https://maps.google.com/?cid=7708619644584350482&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
CDG,Paris,France,Palace of Versailles,culture,The opulent palace and gardens of the French kings.,"culture,history,architecture,day-trip","April,May,September,October",https://places.googleapis.com/v1/places/ChIJdUyx15R95kcRj85ZX8H8OAU/photos/AU_ZVEGBG37BItjN1vaJ_LtrqNPaI3Vxt1caQZu82HAg-inx2PDH6gWuKVFUq2lufRd3uO73dFlNPRmjpW360_RdNdaPm4Nx5Yy34K4RbLggWImE0s9GaPRJ0H6CrfDN3aGbHPhdqUW8VtrtwSYEDkA3YDYXMo1cdLlHZZncraT3pTAjjZlpd3niEhUJZ1F9Y9UQTxW4E1bbLNc8fa5mvJDcMVs4eFzoucbA-Djf9opnGiHDuvrt9xGDmZJ0r6rXxG8ZMKarovjbwCjR8eaq7uDB6U6gj3425NdxezGzO5Cpcek3DRA8dN-TE5faRFCSNgEPmTTFlzvBLcItenmQEPTHD1K-Xp2Uk3XMSerWwoRHKPZwcuTLOoCU-Gw__DR_SORwXnp2pGiUxlY3xvfZ1U0rsJisTbCF6EpivDDKDgJfCDgCZiYY/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Place d'Armes, 78000 Versailles, France",4.6,164208,48.8048649,2.1203554,https://maps.google.com/?cid=376328476344045199&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
